,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,36.362991,2020-12-31 03:57:53.601059,2020-12-31 04:41:49.542882,0 days 00:43:55.941823,32,100000,True,0.9999,0.0003109417085406871,big,0.739503947591367,normal,0.001,,COMPLETE
1,1,36.362991,2020-12-31 04:41:49.563707,2020-12-31 05:25:11.864355,0 days 00:43:22.300648,100,10000,False,0.9,3.948427755545825e-05,small,0.1528853893828337,normal,0.01,1.0,COMPLETE
2,2,36.362991,2020-12-31 05:25:11.881118,2020-12-31 06:03:45.652607,0 days 00:38:33.771489,32,100000,True,0.99,0.0005186908216062461,medium,0.9492964470715807,ornstein-uhlenbeck,0.005,,COMPLETE
3,3,36.362991,2020-12-31 06:03:45.670785,2020-12-31 06:42:49.317345,0 days 00:39:03.646560,16,100000,False,0.999,1.858660136973224e-05,medium,0.696198227255741,normal,0.005,256.0,COMPLETE
4,4,36.362991,2020-12-31 06:42:49.334088,2020-12-31 07:21:25.305965,0 days 00:38:35.971877,100,100000,False,0.99,0.00028231802680569454,small,0.19412339843063997,normal,0.005,2000.0,COMPLETE
5,5,36.362991,2020-12-31 07:21:25.324597,2020-12-31 08:05:52.617625,0 days 00:44:27.293028,128,100000,False,0.995,0.015673228555423333,big,0.48597560253144567,normal,0.005,16.0,COMPLETE
6,6,36.362991,2020-12-31 08:05:52.637151,2020-12-31 08:49:08.271289,0 days 00:43:15.634138,512,10000,False,0.99,0.0012863549292361325,small,0.4936825632737514,,0.005,256.0,COMPLETE
7,7,36.362991,2020-12-31 08:49:08.295031,2020-12-31 09:32:13.267065,0 days 00:43:04.972034,32,10000,False,0.99,0.00020268710378384296,big,0.6886711015387125,,0.005,256.0,COMPLETE
8,8,36.362991,2020-12-31 09:32:13.289427,2020-12-31 10:15:04.340734,0 days 00:42:51.051307,512,100000,True,0.98,0.025574410266306285,small,0.7410124600161588,ornstein-uhlenbeck,0.02,,COMPLETE
9,9,36.362991,2020-12-31 10:15:04.361037,2020-12-31 10:58:47.216354,0 days 00:43:42.855317,512,100000,True,0.98,0.018305412325525225,small,0.4192392163033749,ornstein-uhlenbeck,0.01,,COMPLETE
10,10,36.362991,2020-12-31 10:58:47.241900,2020-12-31 11:43:15.805115,0 days 00:44:28.563215,512,1000000,True,0.999,0.0018058221514030625,big,0.6061715269686129,,0.001,,COMPLETE
11,11,36.362991,2020-12-31 11:43:15.824296,2020-12-31 12:28:10.797668,0 days 00:44:54.973372,128,1000000,False,0.95,0.0023938780810114292,big,0.125511774587431,,0.01,16.0,COMPLETE
12,12,36.362991,2020-12-31 12:28:10.817796,2020-12-31 13:13:28.401376,0 days 00:45:17.583580,64,100000,False,0.9999,3.8561515153482784e-05,big,0.8556820389379349,,0.005,128.0,COMPLETE
13,13,36.362991,2020-12-31 13:13:28.423716,2020-12-31 13:58:02.528777,0 days 00:44:34.105061,16,1000000,True,0.999,0.008605650407690658,medium,0.8684982827657396,ornstein-uhlenbeck,0.005,,COMPLETE
14,14,36.362991,2020-12-31 13:58:02.549586,2020-12-31 14:42:37.914215,0 days 00:44:35.364629,256,1000000,False,0.99,0.0031565040718483026,big,0.5922550113766877,,0.02,128.0,COMPLETE
15,15,36.362991,2020-12-31 14:42:37.939244,2020-12-31 18:23:55.280718,0 days 03:41:17.341474,64,100000,False,0.9,0.01184801993039083,big,0.24278031096028874,,0.02,1.0,COMPLETE
16,16,36.362991,2020-12-31 18:23:55.299029,2020-12-31 19:08:24.205796,0 days 00:44:28.906767,128,1000000,True,0.995,0.05629637588041924,medium,0.7740094666552791,normal,0.001,,COMPLETE
