,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_episodic,params_gamma,params_lr,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-4242.557874000001,2021-01-04 21:41:33.754004,2021-01-04 22:24:54.986696,0 days 00:43:21.232692,16,100000,True,0.999,0.1384724637369112,medium,0.31835169136379127,normal,0.02,,COMPLETE
1,1,43.9727782,2021-01-04 22:24:55.008959,2021-01-04 23:05:17.272327,0 days 00:40:22.263368,512,1000000,False,0.9999,0.0003196370980849547,big,0.613800287179281,normal,0.02,2000.0,COMPLETE
2,2,47.893917,2021-01-04 23:05:17.289752,2021-01-04 23:44:35.384567,0 days 00:39:18.094815,128,10000,False,0.9999,0.0024792656096810552,small,0.542975064441723,,0.001,16.0,COMPLETE
3,3,47.7882824,2021-01-04 23:44:35.403435,2021-01-05 00:24:30.394759,0 days 00:39:54.991324,256,1000000,True,0.95,5.564898960390416e-05,small,0.2686724989058311,ornstein-uhlenbeck,0.02,,COMPLETE
4,4,45.036002800000006,2021-01-05 00:24:30.417318,2021-01-05 01:03:28.156535,0 days 00:38:57.739217,32,100000,True,0.999,0.003281279001339149,small,0.0043061936037341875,,0.005,,COMPLETE
5,5,42.8716976,2021-01-05 01:03:28.177145,2021-01-05 01:42:41.442632,0 days 00:39:13.265487,64,100000,True,0.9,0.0040146396272336266,small,0.5447166245141507,normal,0.01,,COMPLETE
6,6,46.3368402,2021-01-05 01:42:41.461717,2021-01-05 02:21:51.126303,0 days 00:39:09.664586,64,100000,True,0.9,0.3645277685092089,small,0.9047274937409596,ornstein-uhlenbeck,0.01,,COMPLETE
7,7,46.4393488,2021-01-05 02:21:51.146607,2021-01-05 03:01:25.927866,0 days 00:39:34.781259,256,1000000,True,0.9999,0.0016673152892208952,big,0.9875307296681393,,0.02,,COMPLETE
8,8,44.94480420000001,2021-01-05 03:01:25.946952,2021-01-05 03:41:34.054654,0 days 00:40:08.107702,128,1000000,False,0.9999,0.00072456508956079,big,0.9197965597730732,normal,0.02,16.0,COMPLETE
9,9,45.678447,2021-01-05 03:41:34.073310,2021-01-05 04:22:02.812942,0 days 00:40:28.739632,64,10000,True,0.99,0.003154181589557068,big,0.060021916572079226,ornstein-uhlenbeck,0.001,,COMPLETE
10,10,43.9571892,2021-01-05 04:22:02.833518,2021-01-05 05:02:09.731946,0 days 00:40:06.898428,100,10000,False,0.98,0.05191555583287708,medium,0.7376738078967001,,0.001,16.0,COMPLETE
11,11,43.1239758,2021-01-05 05:02:09.749533,2021-01-05 05:41:05.883603,0 days 00:38:56.134070,128,10000,False,0.95,1.4071127761461715e-05,small,0.31334698959128376,ornstein-uhlenbeck,0.001,1000.0,COMPLETE
12,12,47.9542024,2021-01-05 05:41:05.902629,2021-01-05 06:21:32.514917,0 days 00:40:26.612288,256,10000,False,0.95,1.6831035476757473e-05,small,0.31998945330104334,ornstein-uhlenbeck,0.005,1.0,COMPLETE
13,13,43.0914392,2021-01-05 06:21:32.534187,2021-01-05 07:01:27.324506,0 days 00:39:54.790319,128,10000,False,0.995,1.0083356864259705e-05,small,0.44980313776416025,,0.005,1.0,COMPLETE
14,14,44.5336596,2021-01-05 07:01:27.342891,2021-01-05 07:40:40.104775,0 days 00:39:12.761884,256,10000,False,0.95,9.176372078932716e-05,small,0.13133216716917445,,0.005,256.0,COMPLETE
15,15,47.5678758,2021-01-05 07:40:40.123518,2021-01-05 08:20:19.676358,0 days 00:39:39.552840,256,10000,False,0.9999,0.02250165689773727,small,0.7069077810423912,ornstein-uhlenbeck,0.005,128.0,COMPLETE
16,16,46.0233434,2021-01-05 08:20:19.695243,2021-01-05 09:01:58.721715,0 days 00:41:39.026472,128,10000,False,0.95,7.256394903909502e-05,medium,0.452646384043559,ornstein-uhlenbeck,0.001,1.0,COMPLETE
17,17,42.1618188,2021-01-05 09:01:58.740058,2021-01-05 09:13:54.923501,0 days 00:11:56.183443,16,10000,False,0.99,0.8705145443026215,small,0.18469355020172373,,0.005,1.0,PRUNED
18,18,42.1207924,2021-01-05 09:13:54.931157,2021-01-05 09:52:00.796685,0 days 00:38:05.865528,32,10000,False,0.995,2.3671288447432695e-05,small,0.39327121026666095,,0.001,16.0,COMPLETE
19,19,42.29402660000001,2021-01-05 09:52:00.816561,2021-01-05 10:27:27.789294,0 days 00:35:26.972733,100,10000,False,0.98,0.012774515064416141,small,0.5888444777433498,ornstein-uhlenbeck,0.01,16.0,COMPLETE
