,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,system_attrs_fail_reason,state
0,0,36.362991,2020-12-31 03:57:29.100218,2020-12-31 04:07:05.758775,0 days 00:09:36.658557,tanh,2.3507042479461035e-08,0.98,0.98,-2.869330712248387,0.5784340394918388,constant,1.0,256,medium,True,True,False,0.08054795389206582,,COMPLETE
1,1,36.362991,2020-12-31 03:57:29.108969,2020-12-31 04:07:00.907859,0 days 00:09:31.798890,tanh,5.836654611802792e-06,0.98,0.9,-2.972114059199567,0.28056920188373224,linear,5.0,2048,small,True,True,False,0.47623086066521136,,COMPLETE
2,2,36.362991,2020-12-31 03:57:29.125238,2020-12-31 04:07:18.021970,0 days 00:09:48.896732,tanh,0.005724347407367899,0.98,0.98,-0.9933290740488396,0.0002898329865104199,linear,0.6,128,small,False,False,True,0.9588178887616321,,COMPLETE
3,3,36.362991,2020-12-31 03:57:29.137388,2020-12-31 04:07:05.660832,0 days 00:09:36.523444,tanh,0.035442404035672094,1.0,0.95,-3.450326542330904,0.0007277794454344895,linear,1.0,256,medium,False,False,True,0.1436460546318018,,COMPLETE
4,4,-36.542976,2020-12-31 04:07:00.944083,2020-12-31 04:16:42.679215,0 days 00:09:41.735132,tanh,5.243697515874929e-06,1.0,0.95,-0.9924979330314723,2.1417802609338188e-05,constant,0.5,512,small,True,True,False,0.08687341391930437,,COMPLETE
5,5,-7.407556,2020-12-31 04:07:05.690048,2020-12-31 04:16:44.238827,0 days 00:09:38.548779,tanh,2.720191989036921e-08,0.95,0.99,-1.6310644098465796,4.5164713819141935e-05,linear,1.0,2048,small,False,False,True,0.43294725865081807,,COMPLETE
6,6,36.362991,2020-12-31 04:07:05.789657,2020-12-31 04:16:45.969860,0 days 00:09:40.180203,tanh,3.317229302918395e-07,0.8,0.98,-2.0180799705235617,0.016492022399926726,linear,0.5,512,medium,True,False,True,0.773904646838405,,COMPLETE
7,7,-21.443231,2020-12-31 04:07:18.060570,2020-12-31 04:17:01.804190,0 days 00:09:43.743620,relu,0.011482985967636987,1.0,0.98,-1.7803541063564579,1.532677518099334e-05,linear,0.7,1024,small,False,False,False,0.4573052572842532,,COMPLETE
8,8,36.362991,2020-12-31 04:16:42.714285,2020-12-31 04:26:58.988500,0 days 00:10:16.274215,tanh,0.045228531780753874,0.9,0.999,0.7939510954203657,0.0008466834353430811,constant,0.7,64,small,False,False,True,0.36559176198414356,,COMPLETE
9,9,36.362991,2020-12-31 04:16:44.267619,2020-12-31 04:26:21.017477,0 days 00:09:36.749858,tanh,6.686096106834184e-08,0.99,0.9,-0.6021381741420715,0.0003485231499724403,linear,5.0,512,small,True,False,False,0.7999682124727708,,COMPLETE
10,10,36.362991,2020-12-31 04:16:46.008463,2020-12-31 04:26:25.374389,0 days 00:09:39.365926,relu,8.428087769678511e-05,0.95,0.999,-1.4085491884306318,0.18396053113546826,constant,0.7,1024,medium,True,True,True,0.7988164823619617,,COMPLETE
11,11,36.362991,2020-12-31 04:17:01.854022,2020-12-31 04:26:45.107492,0 days 00:09:43.253470,tanh,0.00010633302237176972,0.8,0.995,-3.8930442669132654,0.0008018982526580756,linear,0.5,256,medium,True,True,False,0.6273056653621284,,COMPLETE
12,12,-38.607793,2020-12-31 04:26:21.060760,2020-12-31 04:29:11.968100,0 days 00:02:50.907340,tanh,0.002120340218386127,0.98,0.98,0.49407265467469674,1.0374079332571597e-05,linear,0.7,2048,medium,False,True,False,0.38461331227729667,,PRUNED
13,13,36.362991,2020-12-31 04:26:25.405429,2020-12-31 04:35:42.048138,0 days 00:09:16.642709,relu,2.810800723395696e-07,1.0,0.98,-1.7645641494129047,0.0003444071305611394,constant,0.8,512,small,False,False,False,0.07275969378505864,,COMPLETE
14,14,10.840344,2020-12-31 04:26:45.139964,2020-12-31 04:29:36.799298,0 days 00:02:51.659334,relu,1.7574915398281554e-05,0.92,0.9999,-3.6095447117121893,9.17693932369376e-05,linear,5.0,1024,small,False,False,True,0.07198136020582968,,PRUNED
15,15,36.362991,2020-12-31 04:26:59.019861,2020-12-31 04:37:43.703786,0 days 00:10:44.683925,tanh,7.3339631666622536e-06,0.8,0.98,-3.987888376136771,0.0025146370521296683,constant,0.5,32,small,False,True,False,0.5361793554150104,,COMPLETE
16,16,-185.790512,2020-12-31 04:29:11.981222,2020-12-31 04:31:58.842362,0 days 00:02:46.861140,tanh,1.8406311310150481e-07,0.9,0.9999,0.5408405769011928,0.8366683271762534,linear,0.3,256,small,True,True,True,0.49292065262745244,,PRUNED
17,17,-185.790512,2020-12-31 04:29:36.809361,2020-12-31 04:44:44.736077,0 days 00:15:07.926716,relu,5.4586433370005435e-06,0.92,0.9999,-1.9173942095358911,0.038999445527312555,linear,5.0,8,small,True,True,True,0.521062572922963,,COMPLETE
18,18,36.362991,2020-12-31 04:31:58.853569,2020-12-31 04:41:23.852040,0 days 00:09:24.998471,tanh,0.00012564872174675127,1.0,0.99,-0.6071638875907457,0.00044492774466724325,linear,0.8,128,small,False,False,False,0.7019383040072594,,COMPLETE
19,19,36.362991,2020-12-31 04:35:42.080753,2020-12-31 04:45:20.113003,0 days 00:09:38.032250,relu,1.2785896804916748e-05,0.99,0.9999,0.9819079082250006,0.003169999285218436,constant,0.3,128,small,False,False,False,0.15699587978201324,,COMPLETE
20,20,36.362991,2020-12-31 04:37:43.740116,2020-12-31 04:47:10.443491,0 days 00:09:26.703375,relu,3.1093743564705473e-07,0.99,0.9,-3.771436063225952,0.31573989955054077,linear,0.3,512,medium,False,False,True,0.25464064852030144,,COMPLETE
21,21,36.362991,2020-12-31 04:41:23.883153,2020-12-31 04:50:59.967797,0 days 00:09:36.084644,relu,0.000548768465719809,0.99,0.999,-0.26830197665757805,0.44732496882313166,linear,0.6,2048,medium,False,False,True,0.9520450460026173,,COMPLETE
22,22,-38.88712,2020-12-31 04:44:44.767140,2020-12-31 04:47:37.382236,0 days 00:02:52.615096,relu,1.640459925348773e-08,0.95,0.99,-3.0899570130818903,0.00013344450867050958,constant,0.6,2048,medium,False,True,False,0.4978056873522779,,PRUNED
23,23,,2020-12-31 04:45:20.144952,2020-12-31 04:49:05.288785,0 days 00:03:45.143833,relu,1.643554505701652e-08,1.0,0.95,-1.8005508583379979,0.6445952225165364,linear,0.8,16,medium,False,True,True,0.6014110279922656,,PRUNED
24,24,36.362991,2020-12-31 04:47:10.480950,2020-12-31 04:56:51.199247,0 days 00:09:40.718297,tanh,1.1201712495568042e-06,0.92,0.999,-1.347366386344429,0.002402621262109359,linear,0.3,1024,small,False,False,True,0.49558766424380696,,COMPLETE
25,25,36.362991,2020-12-31 04:47:37.392825,2020-12-31 04:57:17.377246,0 days 00:09:39.984421,relu,0.001098929333221713,0.95,0.995,-0.11848759539835552,0.001343726109382168,linear,5.0,512,small,True,False,True,0.25826157228248714,,COMPLETE
26,26,36.362991,2020-12-31 04:49:05.301230,2020-12-31 04:58:42.570593,0 days 00:09:37.269363,relu,2.0167677770492977e-05,0.98,0.99,-1.8430396950463184,1.0689635323518148e-05,constant,0.7,256,medium,False,False,True,0.8722033747666721,,COMPLETE
27,27,36.362991,2020-12-31 04:51:00.011515,2020-12-31 05:01:55.225145,0 days 00:10:55.213630,relu,5.141364744977573e-05,0.8,0.9999,-1.1534978295829839,1.2915700881349563e-05,constant,0.5,32,medium,False,False,False,0.11748712646663928,,COMPLETE
28,28,36.362991,2020-12-31 04:56:51.228846,2020-12-31 05:07:28.760145,0 days 00:10:37.531299,relu,2.5896214353984186e-06,0.99,0.98,-3.5489701520920285,0.00023259228545505578,linear,0.6,32,medium,False,False,False,0.31385174578686725,,COMPLETE
29,29,36.362991,2020-12-31 04:57:17.406557,2020-12-31 05:11:51.677309,0 days 00:14:34.270752,tanh,0.01761816159179426,0.99,0.99,-2.7976092113284343,0.3441019948194216,linear,5.0,8,medium,False,False,True,0.9165226132478235,,COMPLETE
30,30,36.362991,2020-12-31 04:58:42.604045,2020-12-31 05:07:49.915402,0 days 00:09:07.311357,tanh,0.00011418150067771662,1.0,0.95,-2.4159819543864005,0.054828408151010095,constant,2.0,256,medium,True,True,True,0.8129222905499868,,COMPLETE
31,31,1.678467,2020-12-31 05:01:55.255987,2020-12-31 05:04:41.932521,0 days 00:02:46.676534,relu,4.998292552058672e-06,0.95,0.98,0.734783402175812,0.00016015084163728194,linear,0.8,256,medium,True,True,True,0.7050585436067722,,PRUNED
32,32,36.362991,2020-12-31 05:04:41.945581,2020-12-31 05:14:39.985146,0 days 00:09:58.039565,tanh,0.0008668588205199175,0.98,0.9,0.25269008493080936,0.035271974717126356,constant,0.3,32,medium,True,False,True,0.5590674849059711,,COMPLETE
33,33,-185.790512,2020-12-31 05:07:28.789388,2020-12-31 05:10:58.605133,0 days 00:03:29.815745,tanh,0.00020666683170740834,0.8,0.9999,0.035638812006363985,0.21708360249869724,linear,0.9,16,medium,True,True,False,0.7641387201028045,,PRUNED
34,34,,2020-12-31 05:07:49.947755,2020-12-31 05:21:27.251215,0 days 00:13:37.303460,tanh,0.0663576195982698,0.99,0.9,-2.605674667077073,0.36156219183587845,linear,0.5,8,small,False,False,True,0.08025610389163818,"Trial 34 failed, because the objective function returned nan.",FAIL
35,35,36.362991,2020-12-31 05:10:58.615862,2020-12-31 05:19:43.556063,0 days 00:08:44.940201,relu,1.3540941377743475e-07,0.9,0.95,-0.5143396050016777,0.00032149180648097746,constant,0.8,128,medium,False,True,False,0.9984167543783163,,COMPLETE
36,36,,2020-12-31 05:11:51.711390,2020-12-31 05:23:41.648315,0 days 00:11:49.936925,tanh,8.799027425974286e-08,0.8,0.999,-0.2003285719381207,0.31360238154951714,constant,0.9,16,medium,False,False,False,0.19323483325508606,"Trial 36 failed, because the objective function returned nan.",FAIL
37,37,36.362991,2020-12-31 05:14:40.008846,2020-12-31 05:23:54.982999,0 days 00:09:14.974153,tanh,0.00880764592166122,0.98,0.9999,0.6145053497716413,0.035714159788359914,constant,5.0,256,small,False,False,True,0.10383679206055074,,COMPLETE
38,38,-185.790512,2020-12-31 05:19:43.586269,2020-12-31 05:22:48.356586,0 days 00:03:04.770317,tanh,2.5483977645191753e-06,0.98,0.9,-1.1534079434215325,0.2109475072377319,linear,2.0,256,medium,True,True,True,0.841364514898877,,PRUNED
39,39,36.362991,2020-12-31 05:21:27.291013,2020-12-31 05:32:57.251155,0 days 00:11:29.960142,tanh,0.0037053767103498304,0.92,0.98,-0.8511251049246469,0.006020869388071459,constant,0.8,2048,medium,True,True,False,0.09163659911992827,,COMPLETE
40,40,50.839346,2020-12-31 05:22:48.392638,2020-12-31 05:34:38.497584,0 days 00:11:50.104946,relu,3.0001446473553074e-07,0.8,0.995,-2.4585859800053926,0.012486195510232303,linear,0.7,128,medium,False,False,False,0.20033289618388683,,COMPLETE
41,41,36.362991,2020-12-31 05:23:41.658920,2020-12-31 05:35:21.048571,0 days 00:11:39.389651,relu,0.00024386977405908676,0.95,0.95,-0.0592230771797273,0.18243189927594372,linear,0.6,256,medium,True,False,False,0.3624070063076561,,COMPLETE
42,42,36.362991,2020-12-31 05:23:55.031276,2020-12-31 05:35:29.751199,0 days 00:11:34.719923,tanh,4.583033157206591e-06,0.9,0.98,0.8048147069649909,0.1500331638151486,constant,0.7,1024,small,False,True,True,0.05242426495775243,,COMPLETE
43,43,36.362991,2020-12-31 05:32:57.298779,2020-12-31 05:44:16.472156,0 days 00:11:19.173377,tanh,0.0034376012583942107,0.9,0.9,-2.7477486900329633,0.3597958191036984,linear,0.8,512,medium,False,True,False,0.2862450653484312,,COMPLETE
44,44,36.362991,2020-12-31 05:34:38.552335,2020-12-31 05:47:20.657344,0 days 00:12:42.105009,tanh,1.4188052841030229e-05,0.95,0.95,-0.7095422400026656,0.0006287542886335682,constant,0.5,32,medium,False,True,False,0.2003515432246067,,COMPLETE
45,45,-39.770012,2020-12-31 05:35:21.077658,2020-12-31 05:38:54.480119,0 days 00:03:33.402461,relu,4.01333662341368e-06,0.99,0.99,-3.869385874256343,0.00035827242095885174,constant,0.9,64,small,False,True,True,0.06126379515870417,,PRUNED
46,46,15.644135,2020-12-31 05:35:29.830656,2020-12-31 05:39:46.624533,0 days 00:04:16.793877,relu,8.330063101658223e-06,0.99,0.9999,0.2220689028627998,2.1741584080339444e-05,linear,0.7,16,small,True,False,True,0.9685145493626915,,PRUNED
47,47,-6.293351,2020-12-31 05:38:54.494583,2020-12-31 05:42:17.608810,0 days 00:03:23.114227,tanh,9.607044280887577e-06,0.9,0.95,-2.225466891794902,1.809057367704289e-05,linear,0.9,1024,small,False,False,False,0.8004827570048714,,PRUNED
48,48,36.362991,2020-12-31 05:39:46.638591,2020-12-31 05:52:23.259813,0 days 00:12:36.621222,relu,4.353735948083485e-05,0.95,0.995,0.8252747590874181,0.00046618017467239283,linear,0.5,32,medium,True,False,False,0.2900802218294415,,COMPLETE
49,49,37.151052,2020-12-31 05:42:17.641545,2020-12-31 05:59:21.483319,0 days 00:17:03.841774,relu,5.2974330699845666e-05,1.0,0.995,0.6590333822140408,0.008662609829063767,linear,1.0,8,medium,True,False,True,0.5367867744330667,,COMPLETE
50,50,36.362991,2020-12-31 05:44:16.539974,2020-12-31 05:58:22.764543,0 days 00:14:06.224569,tanh,1.3540318808237703e-08,0.8,0.95,-3.4303325242662837,7.193963691815285e-05,linear,0.8,16,small,False,True,False,0.5074816462099028,,COMPLETE
51,51,-36.703151,2020-12-31 05:47:20.699135,2020-12-31 05:50:36.323112,0 days 00:03:15.623977,tanh,0.0001404896508984411,0.98,0.9,-2.5514030436953843,4.6907210214010244e-05,linear,0.3,2048,medium,True,True,True,0.928535343930665,,PRUNED
52,52,-185.790512,2020-12-31 05:50:36.333344,2020-12-31 06:01:33.031334,0 days 00:10:56.697990,tanh,1.4016024254504022e-07,0.8,0.95,-0.47645505790919085,0.04386953806795882,constant,0.9,512,small,False,False,True,0.6124062013493621,,COMPLETE
53,53,36.362991,2020-12-31 05:52:23.290512,2020-12-31 06:03:25.564295,0 days 00:11:02.273783,tanh,3.4422182123792944e-06,1.0,0.999,-2.0808720821517657,0.008150059751495473,constant,1.0,512,small,False,False,True,0.09026395894345585,,COMPLETE
54,54,36.362991,2020-12-31 05:58:22.832384,2020-12-31 06:09:43.185038,0 days 00:11:20.352654,relu,0.004193134833024818,0.99,0.95,-0.8651913320379618,0.0010126116915630434,linear,0.7,1024,medium,True,True,True,0.8518472618415854,,COMPLETE
55,55,27.927507,2020-12-31 05:59:21.542295,2020-12-31 06:02:50.843320,0 days 00:03:29.301025,relu,3.27254731170395e-06,1.0,0.98,0.7204787308507417,5.903759861539925e-05,constant,0.5,128,medium,False,True,True,0.07891817640953369,,PRUNED
56,56,36.362991,2020-12-31 06:01:33.102443,2020-12-31 06:13:07.169206,0 days 00:11:34.066763,relu,0.002729158949398578,0.98,0.9,-2.2171561560571362,0.00818029562181882,linear,0.9,128,small,False,False,False,0.4697743614593063,,COMPLETE
57,57,50.466407,2020-12-31 06:02:50.855167,2020-12-31 06:14:01.353634,0 days 00:11:10.498467,relu,0.0005434013524242164,0.92,0.999,-3.9725277128593888,0.014838313660781713,linear,0.5,128,medium,True,False,False,0.46298865977280124,,COMPLETE
58,58,36.362991,2020-12-31 06:03:25.616642,2020-12-31 06:14:09.003171,0 days 00:10:43.386529,relu,1.6383433245263595e-06,0.92,0.995,-1.9282101042376167,0.00039007880479676637,constant,0.8,1024,medium,True,False,True,0.1923650932055554,,COMPLETE
59,59,36.362991,2020-12-31 06:09:43.213417,2020-12-31 06:16:20.127918,0 days 00:06:36.914501,relu,3.431619834930771e-05,0.99,0.99,-3.435740298800073,0.00060801749918113,constant,2.0,16,medium,False,False,True,0.4648224000614467,,COMPLETE
60,60,36.362991,2020-12-31 19:28:31.996189,2020-12-31 19:39:29.014718,0 days 00:10:57.018529,tanh,0.00010583079291528303,0.8,0.9,-1.1921685968249882,0.2321911480145039,constant,5.0,32,medium,True,True,True,0.7940423288793544,,COMPLETE
61,61,-37.352344,2020-12-31 19:28:32.007656,2020-12-31 19:31:25.742206,0 days 00:02:53.734550,relu,1.3009811262373431e-05,0.92,0.9,0.7765478094800553,1.603035756314467e-05,linear,0.9,128,small,False,True,True,0.08149664634792686,,PRUNED
62,62,36.362991,2020-12-31 19:28:32.015199,2020-12-31 19:38:05.679851,0 days 00:09:33.664652,tanh,2.5109679543021994e-05,0.99,0.999,0.3459207779310818,0.02545364250370159,linear,0.3,256,medium,False,True,True,0.6988242733400898,,COMPLETE
63,63,,2020-12-31 19:28:32.030052,2020-12-31 19:32:11.662898,0 days 00:03:39.632846,relu,0.0015541143050799239,0.92,0.995,-3.8538700527345164,0.7040516102276462,constant,0.8,16,small,True,True,True,0.9631043862426637,,PRUNED
64,64,36.362991,2020-12-31 19:31:25.757597,2020-12-31 19:40:59.444087,0 days 00:09:33.686490,relu,6.99517322910444e-08,0.98,0.9,-1.4890479331567854,0.007536471234221117,constant,0.6,512,small,True,True,False,0.346233375032602,,COMPLETE
