,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_log_std_init,params_lr,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,system_attrs_fail_reason,state
0,0,36.362991,2020-12-31 03:56:04.321706,2020-12-31 05:12:10.167644,0 days 01:16:05.845938,tanh,128,0.4,0.02267854967912436,0.99,0.999,-2.132459483795506,0.00716818744581443,0.5,5,8,medium,256,0.11620654168960931,,COMPLETE
1,1,36.362991,2020-12-31 03:56:04.329691,2020-12-31 05:12:59.340210,0 days 01:16:55.010519,tanh,128,0.2,0.026795018504694422,0.9,0.9999,0.9496645255278011,3.3704760198087315e-05,0.5,20,32,small,128,0.8088919347033511,,COMPLETE
2,2,36.362991,2020-12-31 03:56:04.351929,2020-12-31 04:02:26.854135,0 days 00:06:22.502206,relu,256,0.4,3.256883019124224e-05,0.9,0.999,0.4015914340966198,0.1866519553824831,0.6,1,2048,medium,8,0.3535684478221315,,COMPLETE
3,3,36.362991,2020-12-31 03:56:04.352553,2020-12-31 04:38:40.995830,0 days 00:42:36.643277,relu,256,0.2,2.2291058706647074e-07,0.95,0.98,-0.10073116850387231,0.04953217019697107,0.5,10,32,medium,128,0.3957536251066971,,COMPLETE
4,4,-3.296293,2020-12-31 04:02:26.945865,2020-12-31 04:15:50.597419,0 days 00:13:23.651554,relu,16,0.4,9.359825240737127e-07,0.99,0.98,-1.7387150757956529,0.000977364251820932,0.6,1,2048,medium,-1,0.4073884374460167,,COMPLETE
5,5,50.773604,2020-12-31 04:15:50.627075,2020-12-31 04:58:25.174726,0 days 00:42:34.547651,relu,32,0.2,4.276944290929924e-07,0.98,0.98,-3.363947481408501,8.225772986391458e-05,0.6,10,32,medium,32,0.3734414549850671,,COMPLETE
6,6,48.666991,2020-12-31 04:38:41.034349,2020-12-31 06:07:21.440116,0 days 01:28:40.405767,relu,16,0.2,8.223999919735672e-06,0.8,0.9999,-0.408155254269742,0.0010500531426277907,1.0,10,32,medium,128,0.9140786150979535,,COMPLETE
7,7,48.969915,2020-12-31 04:58:25.207380,2020-12-31 06:32:03.108596,0 days 01:33:37.901216,relu,128,0.3,0.0014545534922338645,0.9,0.98,-3.1954110922756174,0.00029227879211468833,0.5,20,32,small,64,0.3319706397089496,,COMPLETE
8,8,36.362991,2020-12-31 05:12:10.192259,2020-12-31 05:40:31.657180,0 days 00:28:21.464921,relu,128,0.3,0.014294289468308201,0.9,0.995,-1.2670345295520633,0.0013697923437441747,1.0,10,64,small,8,0.5992820686095722,,COMPLETE
9,9,39.839655,2020-12-31 05:12:59.364797,2020-12-31 05:41:45.179494,0 days 00:28:45.814697,relu,512,0.2,6.430470300479019e-05,0.8,0.95,-2.690307841823743,0.01986281495747998,2.0,10,64,medium,128,0.7736558350077639,,COMPLETE
10,10,36.362991,2020-12-31 05:40:31.714632,2020-12-31 08:10:11.346565,0 days 02:29:39.631933,tanh,256,0.1,0.001278383874640624,0.99,0.98,-1.3498385667429589,3.779509602662108e-05,0.9,10,8,medium,32,0.9913262176486134,,COMPLETE
11,11,36.362991,2020-12-31 05:41:45.256373,2020-12-31 05:56:30.358665,0 days 00:14:45.102292,relu,128,0.3,1.3856956857023619e-06,0.8,0.9999,0.9824900434572195,1.3418215984824224e-05,2.0,5,2048,small,32,0.23140235513951724,,COMPLETE
12,12,36.362991,2020-12-31 05:56:30.405199,2020-12-31 08:22:24.267880,0 days 02:25:53.862681,tanh,16,0.3,0.011919874258931727,0.95,0.98,-0.3178969879604159,0.00033738100504126514,0.5,20,16,small,16,0.7710040563344251,,COMPLETE
13,13,36.362991,2020-12-31 06:07:21.470709,2020-12-31 06:35:38.707679,0 days 00:28:17.236970,tanh,128,0.4,2.582241640563894e-08,0.92,0.9999,-3.989192544113436,0.003406762306317034,0.3,20,512,small,32,0.5930753647298065,,COMPLETE
14,14,36.362991,2020-12-31 06:32:03.150706,2020-12-31 07:20:07.198816,0 days 00:48:04.048110,relu,128,0.3,2.222480831971975e-06,0.99,0.9,-1.3441908661923305,0.0005841602748327587,5.0,5,16,small,8,0.5882441304071038,,COMPLETE
15,15,36.362991,2020-12-31 06:35:38.745273,2020-12-31 06:51:49.165145,0 days 00:16:10.419872,relu,64,0.3,1.2490826217157492e-06,0.95,0.995,0.5342483573807177,0.00018847841087532506,0.8,1,16,small,256,0.9294308335705418,,COMPLETE
16,16,36.362991,2020-12-31 06:51:49.199230,2020-12-31 07:34:02.449878,0 days 00:42:13.250648,tanh,32,0.4,7.1036909759742245e-06,0.8,0.99,-0.26194945970870975,0.0008510250847223208,0.9,10,32,small,32,0.7501631185189853,,COMPLETE
17,17,36.362991,2020-12-31 07:20:07.230173,2020-12-31 09:25:56.786657,0 days 02:05:49.556484,tanh,16,0.4,0.00019914625153478186,0.8,0.9999,-2.2240349144490414,0.0034830311478032594,2.0,20,32,medium,32,0.9844781492920511,,COMPLETE
18,18,36.362991,2020-12-31 07:34:02.478654,2020-12-31 07:46:50.083141,0 days 00:12:47.604487,tanh,64,0.2,5.501707788116339e-07,0.92,0.99,-0.9873798816820476,0.09149670946775798,0.5,5,64,small,-1,0.7618871265044567,,COMPLETE
19,19,49.921039,2020-12-31 07:46:50.118568,2020-12-31 08:23:09.561688,0 days 00:36:19.443120,relu,32,0.1,0.0027411561697775404,0.98,0.995,-2.5684972524278376,0.002159497454760902,0.8,10,64,medium,-1,0.6594943349274496,,COMPLETE
20,20,48.523099,2020-12-31 08:10:11.376563,2020-12-31 08:22:33.665627,0 days 00:12:22.289064,tanh,64,0.2,0.003549994341910659,0.92,0.98,-1.533215811051997,0.0032162494533650027,0.5,5,128,medium,16,0.4480618094257449,,COMPLETE
21,21,49.749109,2020-12-31 08:22:24.296427,2020-12-31 10:26:16.995477,0 days 02:03:52.699050,tanh,8,0.1,0.00020340564540831648,0.8,0.99,0.8090373912246234,0.0017827798333127944,0.5,10,32,small,128,0.9928752883681932,,COMPLETE
22,22,,2020-12-31 08:22:33.693527,2020-12-31 08:55:01.202992,0 days 00:32:27.509465,tanh,8,0.4,3.233241966559274e-08,0.8,0.95,-1.2564765607765165,0.49228357904032677,0.9,10,512,small,32,0.3147724094164086,,PRUNED
23,23,36.362991,2020-12-31 08:23:09.589080,2020-12-31 09:29:45.503840,0 days 01:06:35.914760,tanh,8,0.3,7.874916764233659e-06,0.92,0.98,-0.019397628831264058,0.04738360865281037,1.0,5,2048,small,256,0.062326789683420536,,COMPLETE
24,24,36.362991,2020-12-31 08:55:01.214216,2020-12-31 09:13:43.299428,0 days 00:18:42.085212,tanh,64,0.4,0.002018305801120753,0.99,0.95,-0.16014669755067157,0.00011029479702720633,1.0,10,64,small,-1,0.5455149927271866,,COMPLETE
25,25,-6.493232000000001,2020-12-31 09:13:43.330955,2020-12-31 09:16:12.368002,0 days 00:02:29.037047,relu,256,0.2,0.001190043307234501,0.9,0.98,-2.1713640729171146,0.009210386430306108,5.0,10,2048,small,8,0.45419813779532525,,PRUNED
26,26,36.362991,2020-12-31 09:16:12.379367,2020-12-31 09:33:25.966817,0 days 00:17:13.587450,relu,16,0.1,0.0011527172892797505,0.95,0.9999,-3.9667548977388916,0.020810955385535145,0.7,1,8,small,64,0.9828762524453354,,COMPLETE
27,27,36.362991,2020-12-31 09:25:56.812995,2020-12-31 10:02:44.820592,0 days 00:36:48.007597,tanh,32,0.3,0.05646657646764576,1.0,0.9,0.05345610013897151,0.011168798126089381,0.8,10,1024,small,8,0.6572152858812215,,COMPLETE
28,28,36.362991,2020-12-31 09:29:45.541735,2020-12-31 09:43:37.957072,0 days 00:13:52.415337,tanh,128,0.2,8.09937618018095e-08,0.99,0.999,0.7074392377346461,0.00021306225354489347,0.8,10,256,small,64,0.6722993874878702,,COMPLETE
29,29,36.362991,2020-12-31 09:33:25.992570,2020-12-31 09:42:12.678644,0 days 00:08:46.686074,relu,128,0.4,0.012397786926382501,0.8,0.9,-2.8789784018146634,0.0002020802715940618,2.0,1,32,medium,256,0.8972237122431945,,COMPLETE
30,30,36.362991,2020-12-31 09:42:12.703593,2020-12-31 09:54:47.238539,0 days 00:12:34.534946,relu,128,0.1,0.00035583564294956033,0.95,0.9,-0.6942644121615902,0.0003447917732823134,0.9,10,1024,medium,128,0.9910601961342472,,COMPLETE
31,31,36.362991,2020-12-31 09:43:37.992218,2020-12-31 11:52:18.939567,0 days 02:08:40.947349,tanh,128,0.4,0.01907109053594644,0.99,0.95,-2.0916624870000127,2.3565310985764615e-05,1.0,10,8,small,32,0.08349817913894786,,COMPLETE
32,32,51.364104,2020-12-31 09:54:47.274068,2020-12-31 10:59:36.637430,0 days 01:04:49.363362,relu,128,0.4,1.5233742766904783e-07,0.99,0.999,-2.820082200816637,0.0009293245561235849,0.5,20,32,medium,64,0.26118485418935833,,COMPLETE
33,33,,2020-12-31 10:02:44.844082,2020-12-31 10:08:24.068409,0 days 00:05:39.224327,relu,128,0.1,0.008687518675974965,0.95,0.98,-1.5401763232583168,0.1294279330350265,0.8,20,1024,medium,256,0.6048312974859589,,PRUNED
34,34,36.362991,2020-12-31 10:08:24.078734,2020-12-31 10:14:01.806683,0 days 00:05:37.727949,relu,512,0.2,0.008729110080792952,0.98,0.999,-2.249180401398142,0.006354596598807745,0.7,1,256,small,-1,0.7982413474785766,,COMPLETE
35,35,36.362991,2020-12-31 10:14:01.833621,2020-12-31 10:25:20.299748,0 days 00:11:18.466127,relu,256,0.1,0.03514275646252964,0.8,0.95,-1.1549479977665968,0.0008508062612645742,2.0,1,16,small,-1,0.3436884189306362,,COMPLETE
