,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,76.82307240000002,2021-01-06 03:18:09.608897,2021-01-06 04:25:26.756779,0 days 01:07:17.147882,256,100000,0.99,0,-0.7330482720444458,0.0004604418852462659,medium,0.001,32,COMPLETE
1,1,39.6331378,2021-01-06 04:25:26.799457,2021-01-06 05:25:03.562328,0 days 00:59:36.762871,512,1000000,0.9,20000,-1.2706871866626033,0.0021968061235099388,medium,0.02,128,COMPLETE
2,2,43.3325076,2021-01-06 05:25:03.581625,2021-01-06 06:21:38.874700,0 days 00:56:35.293075,16,1000000,0.999,10000,0.31540562591725596,0.5296666366507916,medium,0.001,8,COMPLETE
3,3,50.3048488,2021-01-06 06:21:38.894659,2021-01-06 07:16:07.377276,0 days 00:54:28.482617,32,100000,0.99,20000,-3.1481719560421886,0.7839959107944935,big,0.005,128,COMPLETE
4,4,45.8781824,2021-01-06 07:16:07.396222,2021-01-06 08:09:35.660701,0 days 00:53:28.264479,64,100000,0.9,20000,-3.267841120022884,2.0900757802867257e-05,small,0.01,512,COMPLETE
5,5,134.8665438,2021-01-06 08:09:35.692667,2021-01-06 09:07:29.103388,0 days 00:57:53.410721,32,1000000,0.9999,0,-2.993391126129577,0.0030566218208514734,medium,0.01,16,COMPLETE
6,6,-4081.4086982,2021-01-06 09:07:29.122978,2021-01-06 10:06:14.853786,0 days 00:58:45.730808,512,1000000,0.99,0,-2.6109700117763923,0.3573453934676985,medium,0.001,32,COMPLETE
7,7,44.554659,2021-01-06 10:06:14.885110,2021-01-06 10:59:24.889366,0 days 00:53:10.004256,128,100000,0.95,20000,-2.072867255350606,1.9256033464014034e-05,small,0.01,8,COMPLETE
8,8,38.4920862,2021-01-06 10:59:24.909595,2021-01-06 11:57:49.750295,0 days 00:58:24.840700,16,1000000,0.9,0,-3.5978094547679693,1.2994076885316262e-05,medium,0.02,16,COMPLETE
9,9,50.5649902,2021-01-06 11:57:49.769346,2021-01-06 12:57:15.274432,0 days 00:59:25.505086,256,100000,0.9,1000,-0.7869573877009981,2.5929389672116415e-05,medium,0.01,32,COMPLETE
10,10,,2021-01-06 12:57:15.294968,2021-01-06 13:14:42.609238,0 days 00:17:27.314270,32,10000,0.9999,0,-3.7766727355813967,0.0423749868562975,big,0.01,64,PRUNED
11,11,123.44710760000001,2021-01-06 13:14:42.616168,2021-01-06 14:13:51.349793,0 days 00:59:08.733625,256,10000,0.995,0,-0.012581501692255692,0.0007791927366099343,medium,0.001,16,COMPLETE
12,12,41.9246484,2021-01-06 14:13:51.368505,2021-01-06 15:12:39.180876,0 days 00:58:47.812371,32,10000,0.995,0,0.022256049983290185,0.00031975612953267715,medium,0.005,16,COMPLETE
13,13,45.9973164,2021-01-06 15:12:39.199872,2021-01-06 16:09:53.029631,0 days 00:57:13.829759,256,10000,0.995,10000,0.7992207404541842,0.014069499986777074,medium,0.001,256,COMPLETE
14,14,53.5652434,2021-01-06 16:09:53.063276,2021-01-06 17:09:15.685238,0 days 00:59:22.621962,64,10000,0.98,0,-1.9471638896994996,0.0002443605631630773,medium,0.01,16,COMPLETE
15,15,42.3142468,2021-01-06 17:09:15.705028,2021-01-06 17:25:05.768433,0 days 00:15:50.063405,128,10000,0.9999,1000,-0.11196508089724388,0.004112915567139704,small,0.001,16,PRUNED
16,16,39.9641594,2021-01-06 17:25:05.776151,2021-01-06 18:22:32.061998,0 days 00:57:26.285847,32,1000000,0.9999,0,-2.5232173476908826,0.0016250415569863696,big,0.001,16,COMPLETE
17,17,-4080.8834902000003,2021-01-06 18:22:32.081022,2021-01-06 18:40:09.132250,0 days 00:17:37.051228,256,1000000,0.995,0,0.8713550340215784,0.057059328895216144,medium,0.02,16,PRUNED
18,18,164.24941040000002,2021-01-06 18:40:09.139923,2021-01-06 19:37:44.514718,0 days 00:57:35.374795,32,10000,0.995,0,-1.252370116752308,0.0001413097319201485,medium,0.01,512,COMPLETE
19,19,163.7959928,2021-01-06 19:37:44.534186,2021-01-06 20:35:35.365162,0 days 00:57:50.830976,32,1000000,0.999,1000,-1.7441228457234184,7.179478566160996e-05,medium,0.01,512,COMPLETE
