,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,system_attrs_fail_reason,state
0,0,183.353856,2020-12-18 05:55:43.666250,2020-12-18 06:15:07.879303,0 days 00:19:24.213053,32.0,10000.0,0.99,10000.0,-2.3861430826202747,1.4458081147775729e-05,small,0.02,64.0,,COMPLETE
1,1,185.22361,2020-12-18 06:15:07.911484,2020-12-18 06:37:24.800993,0 days 00:22:16.889509,64.0,100000.0,0.995,0.0,-2.452841498913748,0.00041937504170792226,medium,0.01,256.0,,COMPLETE
2,2,187.862091,2020-12-18 06:37:24.834511,2020-12-18 06:55:01.811039,0 days 00:17:36.976528,512.0,10000.0,0.98,20000.0,-3.784927263855741,0.0005788167840009469,medium,0.01,8.0,,COMPLETE
3,3,103.37358100000002,2020-12-18 06:55:01.830466,2020-12-18 07:12:27.626967,0 days 00:17:25.796501,256.0,10000.0,0.95,20000.0,-0.894922802402252,0.179958910843679,small,0.02,64.0,,COMPLETE
4,4,,2020-12-18 07:12:27.645273,2020-12-18 07:31:53.489922,0 days 00:19:25.844649,64.0,10000.0,0.995,10000.0,-1.5357933533867518,0.014082948096621386,medium,0.02,32.0,"Trial 4 failed, because the objective function returned nan.",FAIL
5,5,103.37358100000002,2020-12-18 07:31:53.499565,2020-12-18 07:48:46.219415,0 days 00:16:52.719850,256.0,100000.0,0.98,20000.0,0.7258214890553942,0.10142653819935342,medium,0.01,64.0,,COMPLETE
6,6,182.333169,2020-12-18 07:48:46.238669,2020-12-18 08:05:56.531064,0 days 00:17:10.292395,128.0,10000.0,0.9999,20000.0,-0.8505544305507655,0.00017558969460247062,medium,0.001,256.0,,COMPLETE
7,7,103.37358100000002,2020-12-18 08:05:56.550861,2020-12-18 08:24:42.819407,0 days 00:18:46.268546,16.0,100000.0,0.999,10000.0,-3.7397857713078624,0.21464611150496538,medium,0.01,64.0,,COMPLETE
8,8,-27.453118,2020-12-18 08:24:42.851780,2020-12-18 08:41:39.928885,0 days 00:16:57.077105,256.0,100000.0,0.999,20000.0,0.22429662933056704,0.8173012181002327,medium,0.01,64.0,,COMPLETE
9,9,118.08233599999998,2020-12-18 08:41:39.961176,2020-12-18 09:00:07.078733,0 days 00:18:27.117557,16.0,1000000.0,0.9,10000.0,-0.856853443610718,6.60506350053066e-05,small,0.005,16.0,,COMPLETE
10,10,103.37358100000002,2020-12-18 09:00:07.097057,2020-12-18 09:18:52.430720,0 days 00:18:45.333663,256.0,1000000.0,0.995,10000.0,-3.9693507766867877,0.001855730382248406,small,0.005,16.0,,COMPLETE
11,11,,2020-12-18 09:18:52.449483,2020-12-18 09:25:00.732930,0 days 00:06:08.283447,128.0,100000.0,0.95,0.0,-2.0197878992410536,0.030307678889411886,small,0.005,256.0,,PRUNED
12,12,178.946845,2020-12-18 09:25:00.740041,2020-12-18 09:45:29.642106,0 days 00:20:28.902065,32.0,100000.0,0.95,1000.0,-2.5853102433275783,0.00011848678775682553,small,0.005,16.0,,COMPLETE
13,13,113.56270100000002,2020-12-18 09:45:29.745349,2020-12-18 09:49:44.024729,0 days 00:04:14.279380,256.0,1000000.0,0.95,10000.0,-1.870179575626326,0.0034722514174298042,small,0.001,32.0,,PRUNED
14,14,187.568474,2020-12-18 09:49:44.031852,2020-12-18 10:10:54.034425,0 days 00:21:10.002573,256.0,10000.0,0.99,0.0,-1.7506378222608188,0.0010350663055991962,medium,0.02,512.0,,COMPLETE
15,15,145.925198,2020-12-18 10:10:54.066116,2020-12-18 10:31:28.197646,0 days 00:20:34.131530,32.0,100000.0,0.95,0.0,-0.5268948991654332,1.987620846208826e-05,small,0.001,32.0,,COMPLETE
16,16,,2020-12-18 10:31:28.217561,2020-12-18 10:35:40.493548,0 days 00:04:12.275987,32.0,1000000.0,0.999,10000.0,-3.384343255966229,0.08220754829493121,medium,0.005,512.0,,PRUNED
17,17,187.900678,2020-12-18 10:35:40.500811,2020-12-18 10:52:27.614091,0 days 00:16:47.113280,512.0,1000000.0,0.9999,20000.0,-3.1061787968494827,0.0019700453043817734,medium,0.01,128.0,,COMPLETE
18,18,170.836467,2020-12-18 10:52:27.633620,2020-12-18 11:09:39.504611,0 days 00:17:11.870991,128.0,100000.0,0.9,20000.0,-1.5918472189456194,0.0017613384197284925,medium,0.005,16.0,,COMPLETE
19,19,172.297126,2020-12-18 11:09:39.611917,2020-12-18 11:26:12.574285,0 days 00:16:32.962368,256.0,10000.0,0.95,20000.0,-1.221574650364182,3.2531477007428515e-05,small,0.001,64.0,,COMPLETE
